date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:09	21129/21129	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2236f47de0e057d31:0%22	http://static.emol.cl/emol50/js/notificaciones.js?v=1	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/notificaciones3860.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:09	11793/11793	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259fde311-2e11%22	http://tag.navdmp.com/tm42978.js	C:/Mis%20lugares%20Web/emol/tag.navdmp.com/tm42978.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:09	17959/17959	---M-Z	200	added ('OK')	text/css	etag:%22103061dfabafd11:0%22	http://static.emol.cl/emol50/css/estilo_componentes.min.css	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/css/estilo_componentes.min.css	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:10	98119/98119	---M-Z	200	added ('OK')	text/css	etag:%22c8b14196ef6d21:0%22	http://static.emol.cl/emol50/css/comment.min.css?v=5	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/css/comment.minae52.css	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:11	33161/33161	---M-Z	200	added ('OK')	application/x-javascript	etag:%22336db5c7aa6ad31:0%22	http://static.emol.cl/emol50/js/comment.js?v=22	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/commentbcfe.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:11	6980/6980	---M-Z	200	added ('OK')	application/javascript	etag:%22052d1a92a5cf1:0%22	http://static.emol.cl/emol50/js/vex.combined.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/vex.combined.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:11	6146/6146	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22298c66585922cd1:0%22	http://static.emol.cl/emol50/js/base64.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/base64.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:12	12839/12839	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2290db116945a4d01:0%22	http://static.emol.cl/emol50/js/navegacion2010_detalle.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/navegacion2010_detalle.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:12	9166/9166	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261d62f9695c0d01:0%22	http://static.emol.cl/emol50/js/mustache.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/mustache.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:12	24477/24477	---M-Z	200	added ('OK')	application/javascript	etag:%227324fb45bfad21:0%22	http://static.emol.cl/emol50/js/dropdown_m.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/dropdown_m.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
